Time (HH:mm:ss),Time (GPS ns),UTC offset (s),Time from start of file (s),Latitude (deg),Longitude (deg),Altitude (m),Velocity north (m/s),Velocity east (m/s),Velocity down (m/s),Acceleration Xv (m/s²),Acceleration Yv (m/s²),Acceleration Zv (m/s²),Heading (deg),Pitch (deg),Roll (deg),Velocity up (m/s)
20:44:51,1302122709201000000,-18,442.204000000,37.4279527015821,-122.183071131583,8.05546569824219,-0.005,-0.004,0.0032,-0.0429,3.6798,-6.1149,27.3765537049254,-0.155156970921427,-0.319080196108355,-0.0032
20:44:52,1302122710201000000,-18,443.204000000,37.4279526875216,-122.183071139025,8.05590152740479,-0.0051,0.0017,-0.0028,-0.0177,4.7114,-6.8833,27.4097279612634,-0.158881196589777,-0.326585943224569,0.0028
20:44:53,1302122711201000000,-18,444.204000000,37.4279526988066,-122.183071157619,8.0577974319458,-0.0013,-0.0029,0.0072,-0.0162,-3.77,-5.7048,27.4205568635914,-0.160370886857117,-0.32177309774547,-0.0072
20:44:54,1302122712201000000,-18,445.204000000,37.427952736057,-122.183071170029,8.05694198608398,0.0017,-0.0041,0.0002,-0.0077,-3.1329,-12.0772,27.4368288649731,-0.155443449818992,-0.321314731509366,-0.0002
20:44:55,1302122713201000000,-18,446.204000000,37.427952781267,-122.183071176803,8.05018615722656,-0.0003,-0.0057,0.0006,-0.0499,4.2855,-8.7943,27.4269166951174,-0.157334210542924,-0.32194498508401,-0.0006
20:44:56,1302122714201000000,-18,447.204000000,37.4279527980419,-122.183071179344,8.04684734344482,-0.0029,0,-0.0034,-0.0121,-4.2635,-10.9726,27.4069777638468,-0.159454154384908,-0.318335350974685,0.0034
20:44:57,1302122715201000000,-18,448.204000000,37.427952773534,-122.183071182297,8.05044555664063,-0.0019,-0.0038,0.0016,-0.0488,5.1693,-7.339,27.3836010858055,-0.156245590732175,-0.319595858123973,-0.0016
20:44:58,1302122716201000000,-18,449.204000000,37.4279527760841,-122.1830711784,8.05325794219971,-0.0026,0.0013,-0.0087,-0.0424,-0.6976,-6.6856,27.3544948298128,-0.156245590732175,-0.321601210406931,0.0087
20:44:59,1302122717201000000,-18,450.204000000,37.4279528142457,-122.183071167484,8.05049610137939,0.0002,0.0019,0.0002,-0.065,3.4705,-11.5159,27.3323786589208,-0.154011055331165,-0.32326278801281,-0.0002
20:45:00,1302122718201000000,-18,451.204000000,37.4279528394212,-122.183071147917,8.04426860809326,0.0009,0.0012,0.0023,-0.0096,0.9888,-8.5891,27.3335818702906,-0.154182942669705,-0.3271589010197,-0.0023
20:45:01,1302122719201000000,-18,452.204000000,37.4279528178429,-122.183071141941,8.04405689239502,0.0003,-0.0026,-0.0002,0.0033,-3.5205,-8.2118,27.3307170813149,-0.151260857914537,-0.327101605240187,0.0002
20:45:02,1302122720201000000,-18,453.204000000,37.4279527846498,-122.183071119282,8.04672145843506,-0.0079,-0.0001,-0.0015,-0.0624,2.5107,-11.6944,27.3257896442768,-0.155099675141914,-0.326242168547491,0.0015
20:45:03,1302122721201000000,-18,454.204000000,37.4279528070848,-122.183071077902,8.04997444152832,-0.0097,-0.0036,0.0062,-0.016,2.0278,-10.4396,27.3001211350549,-0.163694042068876,-0.329106957523145,-0.0062
20:45:04,1302122722201000000,-18,455.204000000,37.4279527961113,-122.183071104453,8.05209445953369,-0.0003,-0.0144,0.0006,-0.0416,0.1944,-5.4969,27.2751401751872,-0.176814775577372,-0.319309379226408,-0.0006
20:45:05,1302122723201000000,-18,456.204000000,37.4279528158698,-122.183071173675,8.05409240722656,-0.0065,-0.0008,-0.0064,-0.0389,-0.4353,-10.0626,27.2623059205763,-0.179622268773513,-0.303954110316902,0.0064
20:45:06,1302122724201000000,-18,457.204000000,37.4279528238966,-122.183071237325,8.05836486816406,-0.0105,0.006,-0.0025,-0.0197,-2.0277,-4.2532,27.2867139226489,-0.178934719419356,-0.301834166474918,0.0025
20:45:07,1302122725201000000,-18,458.204000000,37.4279540548401,-122.183070454486,8.05681800842285,0.402,0.2173,0.0081,0.775,-0.6541,-5.8866,27.2874587677825,0.00882355004501468,-0.297078616775332,-0.0081
20:45:08,1302122726201000000,-18,459.204000000,37.4279646209023,-122.18306366037,8.05311012268066,2.2199,1.1282,0.0021,2.0192,6.4222,-7.4745,26.711407000558,0.540241905028853,-0.188331227259502,-0.0021
20:45:09,1302122727201000000,-18,460.204000000,37.4279911685581,-122.183047350991,8.04161643981934,3.6857,1.8084,0.0337,1.9202,4.9517,-12.9309,26.1103169776863,0.265394050704597,-0.296620250539227,-0.0337
20:45:10,1302122728201000000,-18,461.204000000,37.4280336420746,-122.183021342902,7.98828983306885,5.6909,2.8143,0.0613,2.1753,2.7775,-15.2288,26.0709547771608,0.0957412475663606,-0.67643397293145,-0.0613
20:45:11,1302122729201000000,-18,462.204000000,37.428093375507,-122.182990781789,7.91924524307251,7.2719,1.8312,0.0637,-0.7925,-3.9078,-7.6711,17.5978257196481,-0.235428358019255,0.342342282590667,-0.0637
20:45:12,1302122730201000000,-18,463.204000000,37.4281547719361,-122.182995894103,7.83830881118774,5.6858,-2.692,0.0761,-1.9642,-7.9178,-7.6584,342.926659846015,-0.836403789331976,1.26531999476691,-0.0761
20:45:13,1302122731201000000,-18,464.204000000,37.4281920229671,-122.183041703324,7.75936222076416,2.5176,-5.1252,0.0827,-1.043,-5.088,-15.218,304.47013370729,-0.949448362311287,1.55964841412561,-0.0827
20:45:14,1302122732201000000,-18,465.204000000,37.4281982556508,-122.183103466496,7.69056034088135,-1.0723,-5.4521,0.0504,-0.7349,-6.5354,-13.921,267.069454193433,-0.333232253648087,1.92582574099372,-0.0504
20:45:15,1302122733201000000,-18,466.204000000,37.4281744791161,-122.183157008348,7.65152406692505,-3.8454,-4.0453,0.0022,0.3065,-4.3478,-11.1739,232.748021757948,0.0595303149140925,1.65670746462078,-0.0022
